Ward,Tory.Total,Kees.Total,Goldy.Total,Other.Total,Station,Latitude,Longitude,Num.Trips
10,53.19436657,37.75190475,2.533065075,6.52066361,Queen St W / Portland St,43.647714,-79.4014195,15279
10,53.19436657,37.75190475,2.533065075,6.52066361,Queen St W / Shaw St,43.644524,-79.416519,13401
10,53.19436657,37.75190475,2.533065075,6.52066361,Queen St W / Spadina Ave,43.649147,-79.395504,23165
10,53.19436657,37.75190475,2.533065075,6.52066361,Queen St W / York St (City Hall),43.6534399,-79.3840901,6606
10,53.19436657,37.75190475,2.533065075,6.52066361,Queens Quay / Yonge St,43.6419596,-79.3746697,2844
10,53.19436657,37.75190475,2.533065075,6.52066361,Niagara St / Tecumseth St,43.641387,-79.4044383,1833
10,53.19436657,37.75190475,2.533065075,6.52066361,Widmer St / Adelaide St,43.647145,-79.391479,38207
10,53.19436657,37.75190475,2.533065075,6.52066361,Yonge St / Harbour St,43.6432796,-79.3754993,7329
10,53.19436657,37.75190475,2.533065075,6.52066361,Union Station,43.645566,-79.379438,30397
10,53.19436657,37.75190475,2.533065075,6.52066361,Metro Hall Plaza,43.645859,-79.38783,21646
10,53.19436657,37.75190475,2.533065075,6.52066361,Fort York Blvd / Garrison Rd,43.6374334,-79.4061926,3351
10,53.19436657,37.75190475,2.533065075,6.52066361,Simcoe St / Queen St W,43.650858,-79.387582,34635
10,53.19436657,37.75190475,2.533065075,6.52066361,Front St / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,30679
10,53.19436657,37.75190475,2.533065075,6.52066361,Simcoe St / Dundas St W,43.653743,-79.38882,24381
10,53.19436657,37.75190475,2.533065075,6.52066361,Wellington St W / Stafford St,43.6410063,-79.4102226,1363
10,53.19436657,37.75190475,2.533065075,6.52066361,King St W / Douro St,43.641106,-79.4166062,2596
10,53.19436657,37.75190475,2.533065075,6.52066361,Queen St W / Ossington Ave,43.644171,-79.4188508,5446
10,53.19436657,37.75190475,2.533065075,6.52066361,University Ave / King St W,43.648093,-79.384749,29167
10,53.19436657,37.75190475,2.533065075,6.52066361,Wellington St W / Portland St,43.6431913,-79.3995549,7035
11,50.82983286,40.53696795,1.976911553,6.656287636,Beverly St / College St W,43.6587134,-79.3958657,8149
11,50.82983286,40.53696795,1.976911553,6.656287636,Ossington Ave / College St W,43.6543876,-79.4226798,668
11,50.82983286,40.53696795,1.976911553,6.656287636,Euclid Ave / Bloor St W,43.664332,-79.4148618,5661
11,50.82983286,40.53696795,1.976911553,6.656287636,Bay St / Bloor St W,43.669429,-79.389326,36604
