"","Station","Num.Trips","Latitude","Longitude"
"99","Kendal Ave / Bernard Ave",3291,43.671699,-79.4083388
"100","Kendal Ave / Spadina Rd",2898,43.6703049,-79.4052872
"101","King St E / Jarvis St",26817,43.650325,-79.372287
"102","King St E / River St",5171,43.656868,-79.3561681
"103","King St W / Bay St (East Side)",7529,43.6487191,-79.3796276
"104","King St W / Bay St (West Side)",10723,43.6487191,-79.3796276
"105","King St W / Douro St",2596,43.641106,-79.4166062
"106","King St W / Fraser Ave",864,43.6394623,-79.4248104
"107","King St W / Joe Shuster Way",1423,43.6397139,-79.4235468
"108","King St W / Spadina Ave",44044,43.645323,-79.395003
"109","King St W / Stafford St",4686,43.6422906,-79.4107175
"110","King St W / Tecumseth St",8093,43.6433939,-79.4052578
"111","Landsdowne Subway Green P",1791,43.6647888,-79.4635996
"112","Lansdowne Ave / Whytock Ave",430,43.6538351,-79.4411144
"113","Liberty St / Fraser Ave Green P",1991,43.6416978,-79.4236547
"114","Lower Jarvis St / The Esplanade",19638,43.647992,-79.370907
"115","Lower Sherbourne St / The Esplanade",6087,43.6490352,-79.3672694
"116","Macpherson Ave / Spadina Rd",2460,43.6758521,-79.4074745
"117","Madison Ave / Bloor St W",19569,43.667158,-79.402761
"118","Margueretta St / College St W",895,43.651566,-79.437566
"119","Marlborough Ave / Yonge St",989,43.679879,-79.3907295
"120","Mary McCormick Rec Centre (Sheridan Ave)",1407,43.6474373,-79.4328546
"121","McGill St / Church St",4510,43.660678,-79.3788522
"122","Metro Hall Plaza",21646,43.645859,-79.38783
"123","Mill St / Tannery Rd",1962,43.652154,-79.3543446
"124","Mortimer Ave / Coxwell Ave",765,43.6905839,-79.326557
"125","Navy Wharf Ct / Bremner Blvd",16633,43.640722,-79.391051
"126","Nelson St / Duncan St",2702,43.6488016,-79.388923
"127","Niagara St / Richmond St W",25319,43.64534,-79.409597
"128","Niagara St / Tecumseth St",1833,43.641387,-79.4044383
"129","Ontario Place Blvd / Remembrance Dr",4722,43.6312174,-79.4102496
"130","Ossington Ave / Bloor St W",3489,43.6619827,-79.4256242
"131","Ossington Ave / College St W",668,43.6543876,-79.4226798
"132","Ossington Ave / Harrison St",1672,43.650949,-79.4213583
"133","Palmerston Ave / Vermont Ave",1752,43.6715996,-79.4163406
"134","Pape Subway Green P",536,43.6795523,-79.3453774
"135","Parliament St / Aberdeen Ave",3025,43.6650445,-79.3682814
"136","Parliament St / Bloor St E",1068,43.6720333,-79.370728
"137","Parliament St / Gerrard St",13233,43.661149,-79.366648
"138","Phoebe St / Spadina Ave",33009,43.650033,-79.396555
"139","Princess St / Adelaide St",13846,43.6523981,-79.3673842
"140","Queen St E / Berkely St",1742,43.655317,-79.3657508
"141","Queen St E / George St (Moss Park)",3068,43.6539577,-79.372065
"142","Queen St E / Sackville St",1482,43.6562647,-79.361453
"143","Queen St W / Close Ave",2749,43.6407312,-79.4359476
"144","Queen St W / Cowan Ave",1661,43.6413253,-79.4331243
"145","Queen St W / Dovercourt Rd",4934,43.6434786,-79.4223717
"146","Queen St W / Gladstone Ave",3319,43.6425333,-79.4271162
"147","Queen St W / Ossington Ave",5446,43.644171,-79.4188508
"148","Queen St W / Portland St",15279,43.647714,-79.4014195
"149","Queen St W / Shaw St",13401,43.644524,-79.416519
"150","Queen St W / Spadina Ave",23165,43.649147,-79.395504
"151","Queen St W / York St (City Hall)",6606,43.6534399,-79.3840901
"152","Queens Park / Bloor St W",22021,43.668327,-79.39355
"153","Queens Quay / Yonge St",2844,43.6419596,-79.3746697
"154","Queens Quay W / Dan Leckie Way",15939,43.636533,-79.395854
"155","Queens Quay W / Lower Simcoe St",10653,43.6395925,-79.3827816
"156","Richmond St E / Jarvis St Green P",6129,43.6524382,-79.3766754
"157","Riverdale Park North (Broadview Ave)",1955,43.6707898,-79.3561254
"158","Riverdale Park South (Broadview Ave)",2144,43.6707898,-79.3561254
"159","Roxton Rd / Harbord St",1519,43.6587949,-79.4230682
"160","Rusholme Park Cres / College St W",2023,43.6529203,-79.4296335
"161","Salem Ave / Bloor St W",1998,43.6606625,-79.4316443
"162","Scott St / The Esplanade",23265,43.64656,-79.375274
"163","Seaton St / Dundas St E",3579,43.6586458,-79.3694957
"164","Sherbourne St / Carlton St (Allan Gardens)",7977,43.6617585,-79.3746818
"165","Sherbourne St / Wellesley St",32318,43.6673,-79.374
"166","Simcoe St / Dundas St W",24381,43.653743,-79.38882
"167","Simcoe St / Queen St W",34635,43.650858,-79.387582
"168","Simcoe St / Wellington St W",43488,43.645533,-79.3854
"169","Spadina Ave / Sussex Ave",14784,43.664137,-79.402496
"170","Spadina Ave / Willcocks St",2833,43.6612715,-79.4014858
"171","St George St / Bloor St W",22389,43.667333,-79.399429
"172","St George St / Hoskin Ave",6390,43.66408,-79.398439
"173","Stephenson Ave / Main St",495,43.6877284,-79.301609
"174","Sterling Rd / Dundas St W",1735,43.6506776,-79.4430582
"175","Strachan Ave / Princes' Blvd",2963,43.6348654,-79.409077
"176","Sumach St / Carlton St (Riverdale Farm)",2056,43.6671213,-79.3611251
"177","Summerhill Station",2323,43.6822899,-79.3907744
"178","Taddle Creek Park",1646,43.6698599,-79.3984431
"179","Ted Rogers Way / Bloor St E",6324,43.6716033,-79.3805398
"180","Temperance St / Yonge St",26179,43.650855,-79.379492
"181","Trinity St /Front St E",7216,43.6520867,-79.3603354
"182","Ulster St / Bathurst St",2051,43.6598108,-79.409058
"183","Union Station",30397,43.645566,-79.379438
"184","University Ave / College St",20771,43.659226,-79.390213
"185","University Ave / Elm St",16807,43.656518,-79.389099
"186","University Ave / Gerrard St W",17260,43.657763,-79.389165
"187","University Ave / King St W",29167,43.648093,-79.384749
"188","Victoria St / Gould St (Ryerson University)",7771,43.6576585,-79.3788017
"189","Wellesley St / Queen's Park Cres",6096,43.6635981,-79.3906219
"190","Wellesley St E / Yonge St Green P",8508,43.664929,-79.3845625
"191","Wellington St W / Bay St",40120,43.647331,-79.379673
"192","Wellington St W / Portland St",7035,43.6431913,-79.3995549
"193","Wellington St W / Stafford St",1363,43.6410063,-79.4102226
"194","Widmer St / Adelaide St",38207,43.647145,-79.391479
"195","Willcocks St / St George St",26631,43.662237,-79.397716
"196","Woodbine Subway Green P (Cedarvale Ave)",325,43.686833,-79.3110491
"197","Yarmouth Rd / Christie St",1677,43.67002,-79.4209268
"198","Yonge St / Aylmer Ave",1362,43.6755882,-79.3889658
"199","Yonge St / Harbour St",7329,43.6432796,-79.3754993
"200","Yonge St / Wood St",6201,43.6620286,-79.383353
"201","Yonge St / Yorkville Ave",4226,43.6719226,-79.3874532
"202","York St / Queens Quay W",35402,43.640132,-79.380464
