"","Station","id","Terminal","Latitude","Longitude","Docks"
"83","Marlborough Ave / Yonge St","NULL","NULL",43.679879,-79.3907295,"NULL"
"84","Yonge St / Yorkville Ave","NULL","NULL",43.6719226,-79.3874532,"NULL"
"85","Kendal Ave / Bernard Ave","NULL","NULL",43.671699,-79.4083388,"NULL"
"86","Yarmouth Rd / Christie St","NULL","NULL",43.67002,-79.4209268,"NULL"
"87","Bloor St W / Christie St","NULL","NULL",43.6635591,-79.4184063,"NULL"
"88","Yonge St / Wood St","NULL","NULL",43.6620286,-79.383353,"NULL"
"89","161 Bleecker St (South of Wellesley)","NULL","NULL",43.6665988,-79.3732174,"NULL"
"90","Queen St W / Ossington Ave","NULL","NULL",43.644171,-79.4188508,"NULL"
"91","Front St E / Cherry St","NULL","NULL",43.6526324,-79.3580917,"NULL"
"92","Cherry St / Mill St","NULL","NULL",43.6513499,-79.3573594,"NULL"
"93","Yonge St / Aylmer Ave","NULL","NULL",43.6755882,-79.3889658,"NULL"
"94","Queens Quay / Yonge St","NULL","NULL",43.6419596,-79.3746697,"NULL"
"95","Queens Quay W / Lower Simcoe St","NULL","NULL",43.6395925,-79.3827816,"NULL"
"96","Mill St / Tannery Rd","NULL","NULL",43.652154,-79.3543446,"NULL"
"97","Wellington St W / Portland St","NULL","NULL",43.6431913,-79.3995549,"NULL"
"98","Hanna Ave / Liberty St","NULL","NULL",43.6385083,-79.4195451,"NULL"
"99","East Liberty St / Pirandello St","NULL","NULL",43.6386723,-79.4139607,"NULL"
"100","Augusta Ave / Denison Sq","NULL","NULL",43.6538727,-79.4017521,"NULL"
"101","College St W / Crawford St","NULL","NULL",43.6532372,-79.4182957,"NULL"
"102","Dockside Dr / Queens Quay E (Sugar Beach)","NULL","NULL",43.6443346,-79.3678102,"NULL"
"103","Bathurst St / Dundas St W","NULL","NULL",43.6522958,-79.4060126,"NULL"
"104","Church St  / Wood St","NULL","NULL",43.6628044,-79.3797312,"NULL"
"105","Dundonald St / Church St","NULL","NULL",43.6667003,-79.3813459,"NULL"
"106","Wellesley St E / Yonge St Green P","NULL","NULL",43.664929,-79.3845625,"NULL"
"107","Riverdale Park South (Broadview Ave)","NULL","NULL",43.6707898,-79.3561254,"NULL"
"108","McGill St / Church St","NULL","NULL",43.660678,-79.3788522,"NULL"
"109","Ted Rogers Way / Bloor St E","NULL","NULL",43.6716033,-79.3805398,"NULL"
